1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9500000077A49441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Sun Oct 02 13:48:01 AKDT 2022
Mission Sample Count:  1661
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Oct 02 13:48:01 AKDT 2022
Total Mission Samples:  1661
Total Device Samples:  4658
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/2/22, 1:48:01 PM,C,0.053
10/2/22, 5:48:01 PM,C,0.053
10/2/22, 9:48:01 PM,C,0.053
10/3/22, 1:48:01 AM,C,0.053
10/3/22, 5:48:01 AM,C,0.053
10/3/22, 9:48:01 AM,C,0.053
10/3/22, 1:48:01 PM,C,0.053
10/3/22, 5:48:01 PM,C,0.053
10/3/22, 9:48:01 PM,C,0.053
10/4/22, 1:48:01 AM,C,0.053
10/4/22, 5:48:01 AM,C,0.053
10/4/22, 9:48:01 AM,C,0.053
10/4/22, 1:48:01 PM,C,0.053
10/4/22, 5:48:01 PM,C,0.053
10/4/22, 9:48:01 PM,C,0.053
10/5/22, 1:48:01 AM,C,0.053
10/5/22, 5:48:01 AM,C,0.053
10/5/22, 9:48:01 AM,C,0.053
10/5/22, 1:48:01 PM,C,0.053
10/5/22, 5:48:01 PM,C,0.053
10/5/22, 9:48:01 PM,C,0.053
10/6/22, 1:48:01 AM,C,0.053
10/6/22, 5:48:01 AM,C,0.053
10/6/22, 9:48:01 AM,C,0.053
10/6/22, 1:48:01 PM,C,0.053
10/6/22, 5:48:01 PM,C,0.053
10/6/22, 9:48:01 PM,C,0.053
10/7/22, 1:48:01 AM,C,0.053
10/7/22, 5:48:01 AM,C,0.053
10/7/22, 9:48:01 AM,C,0.053
10/7/22, 1:48:01 PM,C,0.053
10/7/22, 5:48:01 PM,C,0.053
10/7/22, 9:48:01 PM,C,0.053
10/8/22, 1:48:01 AM,C,0.053
10/8/22, 5:48:01 AM,C,0.053
10/8/22, 9:48:01 AM,C,0.053
10/8/22, 1:48:01 PM,C,0.053
10/8/22, 5:48:01 PM,C,0.053
10/8/22, 9:48:01 PM,C,0.053
10/9/22, 1:48:01 AM,C,0.053
10/9/22, 5:48:01 AM,C,0.053
10/9/22, 9:48:01 AM,C,0.053
10/9/22, 1:48:01 PM,C,0.053
10/9/22, 5:48:01 PM,C,0.053
10/9/22, 9:48:01 PM,C,0.053
10/10/22, 1:48:01 AM,C,0.053
10/10/22, 5:48:01 AM,C,0.053
10/10/22, 9:48:01 AM,C,0.053
10/10/22, 1:48:01 PM,C,0.053
10/10/22, 5:48:01 PM,C,0.053
