1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7E00000050F9AC21
Is Mission Active?  true
Mission Start:  Fri Mar 31 15:23:00 EDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  4
Total Samples:  459
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
3/31/23, 3:23:00 PM,C,23.5
3/31/23, 3:24:00 PM,C,23.5
3/31/23, 3:25:00 PM,C,23
3/31/23, 3:26:00 PM,C,23
