1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0800000050F6FD21
Is Mission Active?  true
Mission Start:  Sat Apr 01 11:51:00 EDT 2023
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1278
Total Samples:  1731
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
4/1/23, 11:51:00 AM,C,24
4/1/23, 12:01:00 PM,C,22.5
4/1/23, 12:11:00 PM,C,24.5
4/1/23, 12:21:00 PM,C,22
4/1/23, 12:31:00 PM,C,21.5
4/1/23, 12:41:00 PM,C,22
4/1/23, 12:51:00 PM,C,24.5
4/1/23, 1:01:00 PM,C,19.5
4/1/23, 1:11:00 PM,C,21.5
4/1/23, 1:21:00 PM,C,22
4/1/23, 1:31:00 PM,C,19.5
4/1/23, 1:41:00 PM,C,24.5
4/1/23, 1:51:00 PM,C,25
4/1/23, 2:01:00 PM,C,27
4/1/23, 2:11:00 PM,C,28
4/1/23, 2:21:00 PM,C,26.5
4/1/23, 2:31:00 PM,C,25
4/1/23, 2:41:00 PM,C,26
4/1/23, 2:51:00 PM,C,27
4/1/23, 3:01:00 PM,C,26.5
4/1/23, 3:11:00 PM,C,26
4/1/23, 3:21:00 PM,C,26
4/1/23, 3:31:00 PM,C,27
4/1/23, 3:41:00 PM,C,26
4/1/23, 3:51:00 PM,C,25
4/1/23, 4:01:00 PM,C,26.5
4/1/23, 4:11:00 PM,C,26
4/1/23, 4:21:00 PM,C,23.5
4/1/23, 4:31:00 PM,C,21.5
4/1/23, 4:41:00 PM,C,22
4/1/23, 4:51:00 PM,C,22.5
4/1/23, 5:01:00 PM,C,21.5
4/1/23, 5:11:00 PM,C,23
4/1/23, 5:21:00 PM,C,21
4/1/23, 5:31:00 PM,C,21
4/1/23, 5:41:00 PM,C,20.5
