1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7E00000050F9AC21
Is Mission Active?  true
Mission Start:  Sat Apr 01 11:53:00 EDT 2023
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  268
Total Samples:  1953
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
4/1/23, 11:53:00 AM,C,24
4/1/23, 12:03:00 PM,C,23.5
4/1/23, 12:13:00 PM,C,23
4/1/23, 12:23:00 PM,C,22.5
4/1/23, 12:33:00 PM,C,22.5
4/1/23, 12:43:00 PM,C,22.5
4/1/23, 12:53:00 PM,C,22.5
4/1/23, 1:03:00 PM,C,22.5
4/1/23, 1:13:00 PM,C,22.5
4/1/23, 1:23:00 PM,C,22.5
4/1/23, 1:33:00 PM,C,22.5
4/1/23, 1:43:00 PM,C,23.5
4/1/23, 1:53:00 PM,C,24
4/1/23, 2:03:00 PM,C,24.5
4/1/23, 2:13:00 PM,C,24.5
4/1/23, 2:23:00 PM,C,24
4/1/23, 2:33:00 PM,C,23.5
4/1/23, 2:43:00 PM,C,23
4/1/23, 2:53:00 PM,C,23
4/1/23, 3:03:00 PM,C,23
4/1/23, 3:13:00 PM,C,23
4/1/23, 3:23:00 PM,C,23.5
4/1/23, 3:33:00 PM,C,23.5
4/1/23, 3:43:00 PM,C,23.5
4/1/23, 3:53:00 PM,C,23.5
4/1/23, 4:03:00 PM,C,23.5
4/1/23, 4:13:00 PM,C,23.5
4/1/23, 4:23:00 PM,C,23.5
4/1/23, 4:33:00 PM,C,23.5
4/1/23, 4:43:00 PM,C,23.5
4/1/23, 4:53:00 PM,C,23.5
4/1/23, 5:03:00 PM,C,23.5
4/1/23, 5:13:00 PM,C,23.5
4/1/23, 5:23:00 PM,C,23.5
4/1/23, 5:33:00 PM,C,23.5
4/1/23, 5:43:00 PM,C,23.5
4/1/23, 5:53:00 PM,C,23.5
