1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7900000050F3E621
Is Mission Active?  true
Mission Start:  Sat Apr 01 11:54:00 EDT 2023
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  268
Total Samples:  721
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
4/1/23, 11:54:00 AM,C,23.5
4/1/23, 12:04:00 PM,C,23
4/1/23, 12:14:00 PM,C,22.5
4/1/23, 12:24:00 PM,C,22.5
4/1/23, 12:34:00 PM,C,22.5
4/1/23, 12:44:00 PM,C,22.5
4/1/23, 12:54:00 PM,C,22
4/1/23, 1:04:00 PM,C,22
4/1/23, 1:14:00 PM,C,22.5
4/1/23, 1:24:00 PM,C,22.5
4/1/23, 1:34:00 PM,C,23
4/1/23, 1:44:00 PM,C,23.5
4/1/23, 1:54:00 PM,C,24
4/1/23, 2:04:00 PM,C,24
4/1/23, 2:14:00 PM,C,24.5
4/1/23, 2:24:00 PM,C,23.5
4/1/23, 2:34:00 PM,C,23
4/1/23, 2:44:00 PM,C,23
4/1/23, 2:54:00 PM,C,23
4/1/23, 3:04:00 PM,C,23
4/1/23, 3:14:00 PM,C,23
4/1/23, 3:24:00 PM,C,23
4/1/23, 3:34:00 PM,C,23.5
4/1/23, 3:44:00 PM,C,23.5
4/1/23, 3:54:00 PM,C,23.5
4/1/23, 4:04:00 PM,C,23.5
4/1/23, 4:14:00 PM,C,23
4/1/23, 4:24:00 PM,C,23
4/1/23, 4:34:00 PM,C,23
4/1/23, 4:44:00 PM,C,23
4/1/23, 4:54:00 PM,C,23
4/1/23, 5:04:00 PM,C,23
4/1/23, 5:14:00 PM,C,23
4/1/23, 5:24:00 PM,C,23
4/1/23, 5:34:00 PM,C,23
4/1/23, 5:44:00 PM,C,23
4/1/23, 5:54:00 PM,C,23
4/1/23, 6:04:00 PM,C,23
4/1/23, 6:14:00 PM,C,23
4/1/23, 6:24:00 PM,C,23
4/1/23, 6:34:00 PM,C,23
4/1/23, 6:44:00 PM,C,23
4/1/23, 6:54:00 PM,C,23
4/1/23, 7:04:00 PM,C,23
4/1/23, 7:14:00 PM,C,23
4/1/23, 7:24:00 PM,C,23
4/1/23, 7:34:00 PM,C,23
4/1/23, 7:44:00 PM,C,23
4/1/23, 7:54:00 PM,C,23
4/1/23, 8:04:00 PM,C,23
4/1/23, 8:14:00 PM,C,23
4/1/23, 8:24:00 PM,C,23
4/1/23, 8:34:00 PM,C,25.5
4/1/23, 8:44:00 PM,C,19
4/1/23, 8:54:00 PM,C,14.5
4/1/23, 9:04:00 PM,C,13
4/1/23, 9:14:00 PM,C,12
4/1/23, 9:24:00 PM,C,11.5
4/1/23, 9:34:00 PM,C,11.5
4/1/23, 9:44:00 PM,C,11
4/1/23, 9:54:00 PM,C,11
4/1/23, 10:04:00 PM,C,11
4/1/23, 10:14:00 PM,C,11
4/1/23, 10:24:00 PM,C,11
4/1/23, 10:34:00 PM,C,11
4/1/23, 10:44:00 PM,C,10.5
4/1/23, 10:54:00 PM,C,10.5
4/1/23, 11:04:00 PM,C,10.5
4/1/23, 11:14:00 PM,C,10
4/1/23, 11:24:00 PM,C,10
4/1/23, 11:34:00 PM,C,10
4/1/23, 11:44:00 PM,C,9.5
4/1/23, 11:54:00 PM,C,9.5
4/2/23, 12:04:00 AM,C,9.5
4/2/23, 12:14:00 AM,C,9.5
4/2/23, 12:24:00 AM,C,9
