date,hour,air_temp_1m,air_temp_5m
5/1/22,100,,-1.964
5/1/22,200,,-1.571
5/1/22,300,,-1.493
5/1/22,400,,-0.748
5/1/22,500,,-1.649
5/1/22,600,,-2.223
5/1/22,700,,-2.016
5/1/22,800,,-1.64
5/1/22,900,,-2.86
5/1/22,1000,,-2.805
5/1/22,1100,,-3.239
5/1/22,1200,,-3.004
5/1/22,1300,,-3.357
5/1/22,1400,,-3.811
5/1/22,1500,,-4.639
5/1/22,1600,,-5.266
5/1/22,1700,,-5.769
5/1/22,1800,,-6.38
5/1/22,1900,,-6.839
5/1/22,2000,,-7.203
5/1/22,2100,,-7.814
5/1/22,2200,,-8.29
5/1/22,2300,,-8.95
5/1/22,2400,,-9.43
5/2/22,100,,-9.71
5/2/22,200,,-10.12
5/2/22,300,,-10.25
5/2/22,400,,-10.08
5/2/22,500,,-10.27
5/2/22,600,,-10.62
5/2/22,700,,-10.53
5/2/22,800,,-10.02
5/2/22,900,,-8.71
5/2/22,1000,,-9.04
5/2/22,1100,,-9.05
5/2/22,1200,,-8.57
5/2/22,1300,,-7.969
5/2/22,1400,,-8.16
5/2/22,1500,,-8.25
5/2/22,1600,,-7.761
5/2/22,1700,,-7.665
5/2/22,1800,,-8.1
5/2/22,1900,,-8.32
5/2/22,2000,,-8.63
5/2/22,2100,,-9.58
5/2/22,2200,,-9.64
5/2/22,2300,,-9.71
5/2/22,2400,,-10.79
5/3/22,100,,-10.35
5/3/22,200,,-9.97
5/3/22,300,,-10.04
5/3/22,400,,-10.03
5/3/22,500,,-10.46
5/3/22,600,,-10.73
5/3/22,700,,-10.7
5/3/22,800,,-10.16
5/3/22,900,,-9.81
5/3/22,1000,,-9.3
5/3/22,1100,,-9.4
5/3/22,1200,,-8.87
5/3/22,1300,,-8.7
5/3/22,1400,,-8.43
5/3/22,1500,,-8.8
5/3/22,1600,,-8.69
5/3/22,1700,,-9.08
5/3/22,1800,,-9.58
5/3/22,1900,,-9.76
5/3/22,2000,,-9.94
5/3/22,2100,,-10.36
5/3/22,2200,,-10.8
5/3/22,2300,,-11.2
5/3/22,2400,,-11.37
5/4/22,100,,-11.47
5/4/22,200,,-11.53
5/4/22,300,,-11.68
5/4/22,400,,-11.66
5/4/22,500,,-11.61
5/4/22,600,,-11.42
5/4/22,700,,-10.9
5/4/22,800,,-9.38
5/4/22,900,,-8.83
5/4/22,1000,,-8.37
5/4/22,1100,,-8.08
5/4/22,1200,,-8.22
5/4/22,1300,,-8.22
5/4/22,1400,,-8.57
5/4/22,1500,,-8.79
5/4/22,1600,,-8.69
5/4/22,1700,,-8.93
5/4/22,1800,,-9.17
5/4/22,1900,,-9.24
5/4/22,2000,,-9.19
5/4/22,2100,,-9.23
5/4/22,2200,,-9.29
5/4/22,2300,,-9.34
5/4/22,2400,,-9.51
5/5/22,100,,-9.82
5/5/22,200,,-10.81
5/5/22,300,,-11.36
5/5/22,400,,-10.77
5/5/22,500,,-10.24
5/5/22,600,,-9.78
5/5/22,700,,-9.48
5/5/22,800,,-9.77
5/5/22,900,,-9.26
5/5/22,1000,,-8.97
5/5/22,1100,,-8.39
5/5/22,1200,,-8.04
5/5/22,1300,,-7.863
5/5/22,1400,,-7.736
5/5/22,1500,,-7.141
5/5/22,1600,,-6.464
5/5/22,1700,,-7.322
5/5/22,1800,,-7.704
5/5/22,1900,,-7.985
5/5/22,2000,,-8.44
5/5/22,2100,,-9.02
5/5/22,2200,,-9.68
5/5/22,2300,,-9.77
5/5/22,2400,,-10.4
5/6/22,100,,-11.16
5/6/22,200,,-11.24
5/6/22,300,,-12.11
5/6/22,400,,-12.72
5/6/22,500,,-12.71
5/6/22,600,,-11.4
5/6/22,700,,-8.95
5/6/22,800,,-8.25
5/6/22,900,,-6.205
5/6/22,1000,,-2.929
5/6/22,1100,,-3.225
5/6/22,1200,,-1.336
5/6/22,1300,,-0.965
5/6/22,1400,,-1.366
5/6/22,1500,,-0.484
5/6/22,1600,,-0.583
5/6/22,1700,,0.384
5/6/22,1800,,0.044
5/6/22,1900,,-0.656
5/6/22,2000,,-0.822
5/6/22,2100,,0.218
5/6/22,2200,,-1.283
5/6/22,2300,,-2.311
5/6/22,2400,,-3.47
5/7/22,100,,-3.241
5/7/22,200,,-1.937
5/7/22,300,,-1.586
5/7/22,400,,-3.369
5/7/22,500,,-3.684
5/7/22,600,,-2.608
5/7/22,700,,-1.297
5/7/22,800,,1.84
5/7/22,900,,3.097
5/7/22,1000,,3.964
5/7/22,1100,,3.981
5/7/22,1200,,4.541
5/7/22,1300,,4.731
5/7/22,1400,,5.064
5/7/22,1500,,5.351
5/7/22,1600,,5.428
5/7/22,1700,,5.081
5/7/22,1800,,1.077
5/7/22,1900,,-2.577
5/7/22,2000,,-2.944
5/7/22,2100,,-4.123
5/7/22,2200,,-5.541
5/7/22,2300,,-6.13
5/7/22,2400,,-6.482
