1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BF00000039DE0D21
Is Mission Active?  true
Mission Start:  Tue Jun 07 23:01:00 AKDT 2022
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2031
Total Samples:  48032
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/7/22, 11:01:00 PM,C,-1
6/8/22, 12:01:00 AM,C,-2
6/8/22, 1:01:00 AM,C,-2.5
6/8/22, 2:01:00 AM,C,-1.5
6/8/22, 3:01:00 AM,C,-1.5
6/8/22, 4:01:00 AM,C,-0.5
6/8/22, 5:01:00 AM,C,1.5
6/8/22, 6:01:00 AM,C,2.5
6/8/22, 7:01:00 AM,C,6
6/8/22, 8:01:00 AM,C,7.5
6/8/22, 9:01:00 AM,C,12
6/8/22, 10:01:00 AM,C,17
6/8/22, 11:01:00 AM,C,21.5
6/8/22, 12:01:00 PM,C,21.5
6/8/22, 1:01:00 PM,C,21
6/8/22, 2:01:00 PM,C,26.5
6/8/22, 3:01:00 PM,C,21.5
6/8/22, 4:01:00 PM,C,18
6/8/22, 5:01:00 PM,C,14
6/8/22, 6:01:00 PM,C,14
6/8/22, 7:01:00 PM,C,10.5
6/8/22, 8:01:00 PM,C,7
6/8/22, 9:01:00 PM,C,2.5
6/8/22, 10:01:00 PM,C,2
6/8/22, 11:01:00 PM,C,0
6/9/22, 12:01:00 AM,C,-1
6/9/22, 1:01:00 AM,C,-3.5
6/9/22, 2:01:00 AM,C,-3.5
6/9/22, 3:01:00 AM,C,-2.5
6/9/22, 4:01:00 AM,C,0.5
6/9/22, 5:01:00 AM,C,3
6/9/22, 6:01:00 AM,C,6
6/9/22, 7:01:00 AM,C,10.5
6/9/22, 8:01:00 AM,C,15.5
6/9/22, 9:01:00 AM,C,22.5
6/9/22, 10:01:00 AM,C,23
6/9/22, 11:01:00 AM,C,15.5
6/9/22, 12:01:00 PM,C,18.5
6/9/22, 1:01:00 PM,C,17.5
6/9/22, 2:01:00 PM,C,16.5
6/9/22, 3:01:00 PM,C,21
6/9/22, 4:01:00 PM,C,18
6/9/22, 5:01:00 PM,C,16.5
6/9/22, 6:01:00 PM,C,12
6/9/22, 7:01:00 PM,C,7.5
6/9/22, 8:01:00 PM,C,7
6/9/22, 9:01:00 PM,C,5
6/9/22, 10:01:00 PM,C,3.5
6/9/22, 11:01:00 PM,C,2.5
6/10/22, 12:01:00 AM,C,1
6/10/22, 1:01:00 AM,C,0.5
6/10/22, 2:01:00 AM,C,0
