1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AA00000039AD8921
Is Mission Active?  true
Mission Start:  Tue Jun 07 23:00:00 AKDT 2022
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2031
Total Samples:  49790
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/7/22, 11:00:00 PM,C,0.5
6/8/22, 12:00:00 AM,C,0
6/8/22, 1:00:00 AM,C,-0.5
6/8/22, 2:00:00 AM,C,0
6/8/22, 3:00:00 AM,C,0
6/8/22, 4:00:00 AM,C,0
6/8/22, 5:00:00 AM,C,0
6/8/22, 6:00:00 AM,C,0
6/8/22, 7:00:00 AM,C,0.5
6/8/22, 8:00:00 AM,C,2.5
6/8/22, 9:00:00 AM,C,4.5
6/8/22, 10:00:00 AM,C,7.5
6/8/22, 11:00:00 AM,C,10
6/8/22, 12:00:00 PM,C,11
6/8/22, 1:00:00 PM,C,11
6/8/22, 2:00:00 PM,C,13
6/8/22, 3:00:00 PM,C,12
6/8/22, 4:00:00 PM,C,10.5
6/8/22, 5:00:00 PM,C,9
6/8/22, 6:00:00 PM,C,8
6/8/22, 7:00:00 PM,C,5.5
6/8/22, 8:00:00 PM,C,3
6/8/22, 9:00:00 PM,C,1.5
6/8/22, 10:00:00 PM,C,0.5
6/8/22, 11:00:00 PM,C,0
6/9/22, 12:00:00 AM,C,-0.5
6/9/22, 1:00:00 AM,C,-0.5
6/9/22, 2:00:00 AM,C,-0.5
6/9/22, 3:00:00 AM,C,-0.5
6/9/22, 4:00:00 AM,C,-0.5
6/9/22, 5:00:00 AM,C,-0.5
6/9/22, 6:00:00 AM,C,0
6/9/22, 7:00:00 AM,C,0
6/9/22, 8:00:00 AM,C,0.5
6/9/22, 9:00:00 AM,C,3
6/9/22, 10:00:00 AM,C,8.5
6/9/22, 11:00:00 AM,C,8
6/9/22, 12:00:00 PM,C,8.5
6/9/22, 1:00:00 PM,C,9
6/9/22, 2:00:00 PM,C,8
6/9/22, 3:00:00 PM,C,8.5
6/9/22, 4:00:00 PM,C,10
6/9/22, 5:00:00 PM,C,9
6/9/22, 6:00:00 PM,C,7.5
6/9/22, 7:00:00 PM,C,6
6/9/22, 8:00:00 PM,C,5
6/9/22, 9:00:00 PM,C,4
6/9/22, 10:00:00 PM,C,3
6/9/22, 11:00:00 PM,C,2
6/10/22, 12:00:00 AM,C,1
6/10/22, 1:00:00 AM,C,0.5
6/10/22, 2:00:00 AM,C,0
6/10/22, 3:00:00 AM,C,0
6/10/22, 4:00:00 AM,C,0
6/10/22, 5:00:00 AM,C,0
6/10/22, 6:00:00 AM,C,0
6/10/22, 7:00:00 AM,C,0
6/10/22, 8:00:00 AM,C,0.5
6/10/22, 9:00:00 AM,C,1
6/10/22, 10:00:00 AM,C,2
6/10/22, 11:00:00 AM,C,4
6/10/22, 12:00:00 PM,C,5
6/10/22, 1:00:00 PM,C,6
6/10/22, 2:00:00 PM,C,6
6/10/22, 3:00:00 PM,C,6
6/10/22, 4:00:00 PM,C,6
6/10/22, 5:00:00 PM,C,5
6/10/22, 6:00:00 PM,C,3.5
6/10/22, 7:00:00 PM,C,3
6/10/22, 8:00:00 PM,C,2
6/10/22, 9:00:00 PM,C,1
6/10/22, 10:00:00 PM,C,0.5
6/10/22, 11:00:00 PM,C,0.5
6/11/22, 12:00:00 AM,C,0
6/11/22, 1:00:00 AM,C,0
6/11/22, 2:00:00 AM,C,0
6/11/22, 3:00:00 AM,C,0
6/11/22, 4:00:00 AM,C,0
6/11/22, 5:00:00 AM,C,0
6/11/22, 6:00:00 AM,C,0
6/11/22, 7:00:00 AM,C,1.5
6/11/22, 8:00:00 AM,C,3.5
6/11/22, 9:00:00 AM,C,5
6/11/22, 10:00:00 AM,C,6
6/11/22, 11:00:00 AM,C,7
6/11/22, 12:00:00 PM,C,9.5
6/11/22, 1:00:00 PM,C,11.5
6/11/22, 2:00:00 PM,C,10
6/11/22, 3:00:00 PM,C,10.5
6/11/22, 4:00:00 PM,C,9
6/11/22, 5:00:00 PM,C,8.5
6/11/22, 6:00:00 PM,C,7.5
6/11/22, 7:00:00 PM,C,6
6/11/22, 8:00:00 PM,C,4.5
6/11/22, 9:00:00 PM,C,4
6/11/22, 10:00:00 PM,C,2.5
6/11/22, 11:00:00 PM,C,2
6/12/22, 12:00:00 AM,C,1.5
6/12/22, 1:00:00 AM,C,1.5
6/12/22, 2:00:00 AM,C,1.5
6/12/22, 3:00:00 AM,C,1.5
6/12/22, 4:00:00 AM,C,1.5
6/12/22, 5:00:00 AM,C,2
6/12/22, 6:00:00 AM,C,3
6/12/22, 7:00:00 AM,C,4.5
6/12/22, 8:00:00 AM,C,6
6/12/22, 9:00:00 AM,C,7.5
6/12/22, 10:00:00 AM,C,9
6/12/22, 11:00:00 AM,C,8.5
6/12/22, 12:00:00 PM,C,8.5
6/12/22, 1:00:00 PM,C,9
6/12/22, 2:00:00 PM,C,12
6/12/22, 3:00:00 PM,C,12.5
6/12/22, 4:00:00 PM,C,11.5
6/12/22, 5:00:00 PM,C,11.5
6/12/22, 6:00:00 PM,C,9
6/12/22, 7:00:00 PM,C,7.5
6/12/22, 8:00:00 PM,C,6.5
6/12/22, 9:00:00 PM,C,5
6/12/22, 10:00:00 PM,C,4
6/12/22, 11:00:00 PM,C,3
6/13/22, 12:00:00 AM,C,3
6/13/22, 1:00:00 AM,C,3
6/13/22, 2:00:00 AM,C,2.5
6/13/22, 3:00:00 AM,C,2
6/13/22, 4:00:00 AM,C,2
6/13/22, 5:00:00 AM,C,2.5
6/13/22, 6:00:00 AM,C,4
6/13/22, 7:00:00 AM,C,6
6/13/22, 8:00:00 AM,C,7.5
6/13/22, 9:00:00 AM,C,9.5
6/13/22, 10:00:00 AM,C,11.5
6/13/22, 11:00:00 AM,C,15
