Block.Plot,Treatment,NewID,Length_max,Vitality,Symptoms,Species
1.2,C,A2,345,2,NA,A
2.7,C,A19,230,2,BS,A
4.5,C,A36,250,2,NA,A
9.4,C,A83,75,2,NA,A
3.3,N,A23,130,2,NA,A
10.3,S,A93,60,2,NA,A
1.6,SW,A9,300,2,BS,A
9.6,SWN,A85,110,2,NA,A
1.1,W,A1,354,2,BS,A
4.6,W,A38,275,2,NA,A
1.3,N,B5,58,2,NA,B
1.3,N,B6,183,2,NA,B
8.5,N,B128,145,2,Nutirent Damage,B
6.8,S,B100,140,2,NA,B
2.2,SN,B20,141,2,NA,B
3.8,SWN,B48,200,2,ND,B
5.4,SWN,B71,95,2,just a few leaves,B
6.4,W,B88,50,2,NA,B
9.2,W,B138,80,2,NA,B
1.4,WN,B7,82,2,ND,B
1.2,C,S4,133,2,NA,S
9.4,C,S142,145,2,NA,S
10.8,C,S166,305,2,NA,S
5.5,N,Sy42,75,2,NA,S
8.5,N,Sy65,255,2,Dead Branch,S
10.7,N,Sy86,80,2,NA,S
5.3,S,Sy39,55,2,NA,S
3.5,SN,Sy23,160,2,BS,S
6.7,SN,Sy50,230,2,ND,S
7.8,SN,S118,110,2,low,S
9.5,SN,Sy79,85,2,dead,S
6.6,SW,S97,115,2,NA,S
3.8,SWN,S51,155,2,ND,S
5.6,WN,Sy43,130,2,dead branch,S
6.2,WN,S88,90,2,ND,S
