Block.Plot,Treatment,NewID,Vitality,Symptoms,Length_max,Notes
8.8,W,A79,0,dead,130,NA
1.8,SN,A11,1,NA,320,dead? -> leaves expanding at bottom
2.4,S,A15,1,NA,204,dead. Move someone else?
4.7,N,A39,1,NA,205,saddd alder
7.6,S,A66,1,deadish?,240,6/17: deadish
7.8,SN,A69,1,low,220,not great
9.3,WN,A82,1,low,140,dead? bottom sprouts
10.2,SN,A90,1,NA,55,NA
10.5,W,A95,1,NA,110,dead
1.1,W,A1,2,BS,354,NA
1.2,C,A2,2,NA,345,6/17: 2 catkins
1.6,SW,A9,2,BS,300,6/9: top stem dead
2.7,C,A19,2,BS,230,NA
3.3,N,A23,2,NA,130,sad :(
4.5,C,A36,2,NA,250,NA
4.6,W,A38,2,NA,275,NA
9.4,C,A83,2,NA,75,NA
9.6,SWN,A85,2,NA,110,NA
10.3,S,A93,2,NA,60,6/19: small leaves
6.1,C,B81,1,NA,125,dead?
1.2,C,B4,2,NA,46,NA
1.3,N,B5,2,NA,58,NA
1.3,N,B6,2,NA,183,NA
1.4,WN,B7,2,ND,82,NA
2.2,SN,B20,2,NA,141,NA
3.1,WN,B33,2,NA,45,NA
3.8,SWN,B48,2,ND,200,NA
5.1,SN,B65,2,one leaf,25,crunchy
5.4,SWN,B71,2,just a few leaves,95,near edge of OTC. 6/19: just a few leaves
6.4,W,B88,2,NA,50,NA
6.8,S,B100,2,NA,140,NA
8.5,N,B128,2,Nutirent Damage,145,~1/3 of leaves brown
9.2,W,B138,2,NA,80,NA
1.8,SN,S16,0,ND,77,NA
3.3,N,S40,0,ND,140,6/19: wilted
4.2,SW,Sy30,0,death,NA,dead. beetle on corpse
7.3,C,Sy30,0,dead,NA,dead
7.5,SWN,Sy57,0,Nutirent Damage,60,NA
1.1,W,Sy1,1,NA,NA,first recorded
2.4,S,Sy12,1,NA,50,dead?
4.7,N,S64,1,herbiv,115,NA
8.4,SN,Sy67,1,dead?,210,barely alive
10.4,SWN,S158,1,NA,100,NA
10.4,SWN,Sy80,1,NA,45,NA
10.6,WN,Sy84,1,dead,20,NA
1.2,C,S4,2,NA,133,NA
3.5,SN,Sy23,2,BS,160,dead - but 6/19 new buds at base
3.8,SWN,S51,2,ND,155,NA
4.2,SW,S55,2,"Galls, IH",NA,galls! 6/17
5.3,S,Sy39,2,NA,55,NA
5.5,N,Sy42,2,NA,75,barely alive
5.6,WN,Sy43,2,dead branch,130,NA
6.2,WN,S88,2,ND,90,NA
6.6,SW,S97,2,NA,115,6/19: leaves wilting? could be an insect inside the expanding leaves that makes them look wilty
6.7,SN,Sy50,2,ND,230,NA
7.4,WN,S108,2,NA,20,NA
7.8,SN,S118,2,low,110,dead?
8.5,N,Sy65,2,Dead Branch,255,NA
9.4,C,S142,2,NA,145,NA
9.5,SN,Sy79,2,dead,85,NA
9.6,SWN,Sy75,2,NA,NA,NA
9.8,S,Sy71,2,NA,1,soooo tiny
10.7,N,Sy86,2,NA,80,NA
10.8,C,S166,2,NA,305,NA
